car_model,price,year_model,kms,color,fueltype
Kia Rio zenith 1.4,$77.000.000,2023,37.800,Color not found,Gasolina
Kia Rio 1.25 5 p,$45.000.000,2016,98.000,Plateado,Gasolina
Kia Rio Ub Ex Mt ,$43.990.000,2017,76.000,Negro,Gasolina
Kia Rio 1.4 Zenith Hb 5 p,$67.900.000,2021,47.700,Rojo,Gasolina
Kia Rio 1.4 Vibrant,$49.800.000,2018,70.600,Negro,Gasolina
Kia Rio vibrant 1.4,$60.000.000,2020,38.000,Gris,Gasolina
Kia Rio Vibrant 1.4,$62.000.000,2021,82.000,Blanco,Gasolina
Kia Rio 1.4 Vibrant Mt,$60.000.000,2020,42.800,Blanco,Gasolina
Kia Rio 1.4 Vibrant Hb 5 p,$74.990.000,2023,1.800,Negro,Gasolina
Kia Rio Vibrant 1.4,$75.000.000,2023,10.300,Color not found,Gasolina
Kia Rio R 1.25 MT,$44.400.000,2017,82.000,Blanco,Gasolina
Kia Rio 1.25 4 p,$46.000.000,2016,79.000,Rojo,Gasolina
Kia Rio 1.4 Vibrant Mt,$60.000.000,2023,85.000,Blanco,Gasolina
Kia Rio 1.4 5 p 109 hp,$33.900.000,2012,137.252,Plateado,Gasolina
Kia Rio,$42.000.000,2015,115.000,Blanco,Gasolina
Kia Rio 1.4 Aut,$44.500.000,2014,85.000,Rojo,Gasolina
Kia CERATO PRO 1.6l,$51.900.000,2016,125.300,Gris,Gasolina
Kia Rio 1.4 Vibrant At,$70.000.000,2023,15.458,Azul,Gasolina
Kia Rio Spice 1.4,$41.500.000,2015,76.000,Gris,Gasolina
  Kia   Rio Ub Ex    Mt 1.2  2017,$47.000.000,2017,71.000,Plateado,Gasolina
Kia Rio 1.4 4 p,$26.500.000,2009,112.000,Gris,Gasolina
Kia Rio 1.4 Vibrant At,$65.000.000,2021,54.000,Gris,Gasolina
Kia Rio,$24.000.000,2007,218.500,Plateado,Gasolina
Kia Rio 1.25 5 p,$40.800.000,2016,73.527,Gris,Gasolina
Kia Rio 1.4 4 p,$36.800.000,2013,98.000,Gris,Gasolina
Kia Rio 1.4 Vibrant Mt,$48.900.000,2018,39.500,Plateado,Gasolina
Kia Rio Spice 1.2,$37.900.000,2015,115.000,Plateado,Gasolina
Kia Rio 1.4 Vibrant Mt,$50.000.000,2019,74.000,Color not found,Gasolina
Kia KIA RIO ZENITH KIA RIO ZENITH AX,$73.000.000,2023,16.000,Color not found,Gasolina
Kia Rio Sedán 1.4 Zenith Aut,$74.900.000,2024,17.000,Color not found,Gasolina
Kia Rio R 1.4 Automático,$47.900.000,2018,123.000,Plateado,Gasolina
Kia Rio 1.5 Stylus,$24.600.000,2015,118.035,Plateado,Gasolina
Kia Rio 1.4 4 p,$46.900.000,2016,50.900,Color not found,Gasolina
Kia Rio 1.4 4 p 109 hp,$36.800.000,2012,126.000,Blanco,Gasolina
Kia Rio 1.4 Vibrant Mt,$62.000.000,2020,34.000,Blanco,Gasolina
Kia Rio 1.4,$61.900.000,2022,43.000,Gris,Gasolina
Kia Rio 1.4 Vibrant Mt,$62.500.000,2022,23.000,Plateado,Gasolina
Kia Rio 1.4 Emotion Hb,$55.900.000,2020,58.300,Gris,Gasolina
Kia Rio 1.25,$39.900.000,2015,97.000,Blanco,Gasolina
Kia Rio 2015,$39.900.000,2015,95.000,Negro,Gasolina
Kia Rio X-cite 1.6 Mt 2010,$30.000.000,2010,112.000,Negro,Gasolina
