car_model,price,year_model,kms,color,fueltype
Kia Rio 1.25 5 p,$46.500.000,2016,108.000,Gris,Gasolina
Kia Rio 1.4 Vibrant Hb 4 p,$65.000.000,2019,50.000,Blanco,Gasolina
Kia Rio 1.4,$52.000.000,2019,80.000,Gris,Gasolina
Kia Rio 1.4 Vibrant Mt,$51.000.000,2018,67.700,Blanco,Gasolina
Kia Rio STYLUS LS,$27.000.000,2015,106.159,Gris,Gasolina
Kia Rio 1.4 Vibrant Mt,$52.500.000,2018,66.500,Blanco,Gasolina
Kia Rio 1.25 5 p,$50.000.000,2016,28.000,Azul,Gasolina
Kia 2016 Kia Rio Ub Ex ,$53.000.000,2016,72.250,Color not found,Gasolina
Kia Rio 1.5 Stylus 4 p,$21.500.000,2009,111.310,Color not found,Gasolina
Kia Rio 1.4 4 p,$29.900.000,2012,137.000,Color not found,Gasolina
Kia Rio 1.4 4 p,$40.000.000,2013,80.000,Color not found,Gasolina
Kia Rio Spice R Rio Space ,$40.000.000,2014,112.000,Color not found,Gasolina
Kia Rio Sedán 2023,$66.000.000,2023,23.900,Color not found,Gasolina
Kia Rio 1.25,$36.500.000,2015,139.000,Color not found,Gasolina
Kia Rio 1.4 5 p,$22.000.000,2006,240.000,Color not found,Gasolina
Kia Rio 1.2 5 p,$34.500.000,2014,65.000,Plateado,Gasolina
Kia Rio 1.4 Vibrant Hb 4 p,$59.900.000,2022,31.000,Gris,Gasolina
Kia Rio Stylus  2014,$55.000.000,2014,700.000,Color not found,Gasolina y gas
Kia Rio 1.4,$58.500.000,2020,62.000,Blanco,Gasolina
Kia Rio 1.25 5 p,$41.000.000,2016,98.000,Plateado,Gasolina
Kia Rio 1.5 Stylus 4 p,$19.500.000,2009,150.000,Gris,Gasolina
Kia Rio 1.4 Vibrant At,$65.000.000,2020,43.000,Gris,Gasolina
Kia Rio 1.4 Zenith Hb 5 p,$81.000.000,2023,25.000,Gris,Gasolina
Kia Rio 1.25,$37.500.000,2015,123.000,Negro,Gasolina
Kia Rio,$43.000.000,2016,61,Blanco,Gasolina
Kia Rio 1.5 Stylus,$21.000.000,2010,172.400,Blanco,Gasolina
Kia Rio 1.4,$63.000.000,2020,58.000,Gris,Gasolina
Kia Rio 1.4 Vibrant Hb 5 p,$65.000.000,2023,15.600,Color not found,Gasolina
Kia  Río ,$60.000.000,2003,111.111,Color not found,Gasolina
Kia Rio 1.25,$52.000.000,2018,66.700,Color not found,Gasolina
Kia Rio 1.2 4 p,$39.500.000,2015,103.363,Plateado,Gasolina
Kia Rio 1.4 4 p,$43.000.000,2014,110.000,Blanco,Gasolina
Kia Rio 1.4,$58.000.000,2018,38.000,Plateado,Gasolina
Kia Rio Spice R 1.250 Cc,$46.900.000,2016,116.000,Color not found,Gasolina
Kia Rio Ubx,$45.500.000,2015,65.500,Color not found,Gasolina
Kia Rio 1.4 Vibrant Mt,$60.000.000,2020,51.000,Negro,Gasolina
Kia Rio 1.5 Stylus,$20.000.000,2011,99.000,Gris,Gasolina
Kia Rio 1.4 4 p Automática,$51.000.000,2017,42.700,Blanco,Gasolina
Kia Rio 1.2,$43.000.000,2016,97.000,Blanco,Gasolina
Kia Rio 1.4 4 p,$47.000.000,2016,83.900,Gris,Gasolina
Kia Rio 1.25 4 p,$41.500.000,2016,50.000,Color not found,Gasolina
Kia Rio Spice R Summa 1.4,$52.000.000,2017,90.000,Color not found,Gasolina
Kia Rio 1.25,$46.000.000,2017,96.200,Color not found,Gasolina
Kia Rio 1.25 5 p,$48.500.000,2017,73.000,Rojo,Gasolina
Kia Rio 1.6 5 p,$27.500.000,2011,1.600,Gris,Gasolina
Kia Kia rio 1.4 Vibrant At,$69.500.000,2023,8.900,Gris,Gasolina y gas
Kia Rio 1.4 4 p,$26.000.000,2014,120.000,Gris,Gasolina
Kia Rio Sedan,$40.000.000,2015,114.000,Blanco,Gasolina
Kia Rio Spice 1.2,$43.000.000,2015,118.949,Gris,Gasolina
Kia Rio 1.25 5 p,$48.900.000,2017,90.000,Plateado,Gasolina
Kia Rio 1.25,$39.500.000,2015,84.000,Blanco,Gasolina
Kia Rio 1.5 Stylus,$25.000.000,2010,104.000,Plateado,Gasolina
Kia Rio 1.4 5 p,$35.800.000,2013,110.000,Negro,Gasolina
Kia Rio 1.4,$53.000.000,2019,58.000,Gris,Gasolina
Kia Rio Spice 1.4,$49.000.000,2015,36.000,Color not found,Gasolina
Kia Rio Ub Ex,$44.000.000,2015,103.378,Color not found,Gasolina
Kia Rio 1.4 5 p,$36.500.000,2014,125.000,Azul,Gasolina
Kia Rio Sedán Ub Ex,$40.000.000,2015,127,Color not found,Gasolina
Kia Rio Spice R Summa 1.2,$50.000.000,2017,81.000,Color not found,Gasolina
Kia Rio 1.4,$54.000.000,2018,53.000,Color not found,Gasolina
Kia Rio Spice 1.4,$38.000.000,2015,110.000,Color not found,Gasolina
Kia Rio 1.4 Vibrant Mt,$67.900.000,2022,38.000,Blanco,Gasolina
Kia Rio 1.25,$42.000.000,2015,99.000,Color not found,Gasolina
Kia Rio 1.6 Sport,$28.500.000,2009,118.000,Color not found,Gasolina
Kia Rio 1.4 5 p,$27.000.000,2010,136.000,Color not found,Gasolina
Kia Rio 1.5 Stylus,$26.500.000,2016,158.000,Rojo,Gasolina
Kia Rio 1.4 4 p,$20.000.000,2010,123.000,Plateado,Gasolina
Kia Río All New Hb,$57.500.000,2018,56.499,Blanco,Gasolina
Kia Rio 1.4 Vibrant Mt,$65.000.000,2022,44.000,Blanco,Gasolina
Kia Rio 1.2,$46.000.000,2017,55.000,Gris,Gasolina
Kia Rio 1.4 Vibrant Mt,$52.000.000,2018,96.000,Plateado,Gasolina
Kia Rio 1.4,$47.500.000,2018,118.000,Color not found,Gasolina
Kia Rio Vibrant 1.4,$51.000.000,2018,82.000,Plateado,Gasolina
Kia Rio 1.4 Emotion Hb,$57.000.000,2020,35.000,Color not found,Gasolina
Kia Rio 1.4 5 p,$42.000.000,2014,52.000,Gris,Gasolina
Kia Rio 1.4 5 p,$38.000.000,2013,147.000,Rojo,Gasolina
Kia Rio 1.25,$46.000.000,2015,91.000,Plateado,Gasolina
Kia Rio 1.4 Vibrant Hb,$64.000.000,2021,50.000,Gris,Gasolina
Kia Rio 1.4 4 p Automática,$45.000.000,2017,70.000,Negro,Gasolina
Kia Rio 1.6 4 p,$28.000.000,2012,69.000,Plateado,Gasolina
Kia Rio Xcite,$28.000.000,2012,69.000,Plateado,Gasolina
Kia Río Emotion 2021,$59.900.000,2021,39.600,Gris,Gasolina
Kia Rio 1.6 5 p,$28.700.000,2009,135.000,Color not found,Gasolina
Kia Rio 1.25,$45.000.000,2018,94.000,Plateado,Gasolina
Kia Río Vibrant 2019 Automático Llantas 90% Soat Marzo,$57.000.000,2019,73.000,Gris,Gasolina
Kia Rio Sedán 1.4 Emotion Aut,$14.000.000,2024,192.000,Plateado,Gasolina
Kia Rio 1.4 Zenith Hb 5 p,$63.000.000,2020,31.000,Gris,Gasolina
Kia Rio Space 1.4,$32.000.000,2013,148.176,Color not found,Gasolina
Kia Rio Sedán Vibrant,$62.000.000,2020,53.000,Color not found,Gasolina
Kia Rio 1.25,$50.000.000,2019,29.000,Color not found,Gasolina
Kia Rio R 1.25,$49.500.000,2017,75.200,Color not found,Gasolina
Kia Rio 1.4 5 p,$41.000.000,2016,87.500,Color not found,Gasolina
Kia Rio 1.4 4 p Automática,$47.000.000,2017,96.000,Color not found,Gasolina
Kia Rio 1.4 Zenith Hb 4 p,$62.000.000,2020,49.000,Blanco,Gasolina
